feature,f_test_rank,mutual_info_rank,random_forest_rank,correlation_rank,gradient_boosting_rank,avg_rank,final_rank,f_test_score,mutual_info_score,random_forest_score,correlation_score,gradient_boosting_score
sensor_183,20.0,157.0,33.0,17.0,115.0,68.4,44.0,5.628634987503396,0.0,0.006501746823391918,0.0742917683121615,0.0014383751741628215
sensor_423,31.0,157.0,29.0,34.0,92.0,68.6,45.0,4.868079968401238,0.0,0.006933949437228555,0.05911225538547376,0.002602019692385816
sensor_571,70.0,8.0,43.0,192.0,32.0,69.0,46.0,2.023563210145452,0.020849281758124283,0.006185647753323195,0.0011755117429710108,0.009859104330256272
sensor_562,48.0,89.0,143.0,64.0,2.0,69.2,47.0,3.3453160899180943,0.003664145670432939,0.0033176524739146375,0.041669323448300044,0.033248988358216235
sensor_037,57.0,44.0,55.0,28.0,172.0,71.2,48.0,2.5844247539298237,0.009489417978679082,0.005838263873206542,0.06311835755962605,7.606312466697782e-05
sensor_175,34.0,79.0,32.0,27.0,188.0,72.0,49.0,4.429697395784156,0.004796269032519396,0.006756088967491837,0.06352643040068592,1.5869807373108358e-06
sensor_269,88.0,9.0,116.0,116.0,33.0,72.4,50.0,1.2893528887588532,0.020754679829536382,0.003950526766436632,0.022175112489171943,0.009857336005053145
sensor_460,32.0,157.0,67.0,33.0,74.0,72.6,51.0,4.789069052972313,0.0,0.005267671161055338,0.05942276514433664,0.0042046766672822105
sensor_031,45.0,99.0,10.0,119.0,96.0,73.8,52.0,3.510941612408208,0.0024621018751234125,0.012264305840117885,0.02147400051585136,0.002443728594032821
sensor_195,54.0,47.0,121.0,42.0,108.0,74.4,53.0,2.7303270598646816,0.008915913697134403,0.003817685753278026,0.053290548769975875,0.0017841801287546296
sensor_480,78.0,73.0,62.0,75.0,85.0,74.6,54.5,1.8127063635343281,0.005505510747460418,0.0055183802391717985,0.035770766851226335,0.0031174079324789686
sensor_170,59.0,67.0,91.0,90.0,66.0,74.6,54.5,2.5174846381463527,0.006295796542882703,0.004480633454702428,0.02996003990171443,0.00476616815301015
sensor_134,79.0,34.0,83.0,81.0,99.0,75.2,56.0,1.7316341157867123,0.011755035250525125,0.004707287471806486,0.033908057446340685,0.002376966902942843
sensor_489,74.0,45.0,84.0,83.0,95.0,76.2,57.0,1.934066515689302,0.009235385195810242,0.004704634726008839,0.033453561406432804,0.0024670031859745246
sensor_128,75.0,2.0,123.0,46.0,141.0,77.4,58.0,1.9077183491564766,0.026357477466730783,0.0038115943414128418,0.050600824765932376,0.0004493618045914384
sensor_025,137.0,54.0,28.0,152.0,19.0,78.0,59.0,0.21086885440490824,0.007539040737357894,0.007004168229555834,0.009075800935010259,0.01393776179387155
sensor_270,83.0,33.0,129.0,18.0,146.0,81.8,60.0,1.4677995487284305,0.012296129825632551,0.0037313718475255092,0.07143535523820269,0.00040717766343731875
sensor_572,112.0,51.0,87.0,98.0,62.0,82.0,61.0,0.6101298542107881,0.008380167712949582,0.004562284832121909,0.027085726505857142,0.005201820417797013
sensor_117,132.0,74.0,59.0,99.0,49.0,82.6,62.0,0.26408985215293623,0.005385625070466249,0.005564347858694481,0.02624697781157922,0.007355333989813421
sensor_083,129.0,43.0,88.0,110.0,44.0,82.8,63.0,0.2885962509275982,0.009663682060485623,0.0045373135433563125,0.023532232774192897,0.008252003997275652
sensor_182,100.0,25.0,56.0,140.0,94.0,83.0,64.0,0.9387229926880932,0.01421102301121735,0.005742989256557135,0.013187824206534492,0.002489701931646644
sensor_250,121.0,81.0,44.0,70.0,104.0,84.0,65.0,0.4129371145573817,0.00457035400414485,0.006163064957153936,0.03819718055075267,0.002120837025102746
sensor_026,35.0,55.0,176.0,127.0,28.0,84.2,66.5,4.391972617442435,0.007462442478207931,0.0025174593879898634,0.01698942157540501,0.010195384016642602
sensor_413,160.0,12.0,130.0,101.0,18.0,84.2,66.5,0.09547041807645709,0.020045129378531756,0.0037145402110651256,0.026105192868881345,0.014381974119606816
