feature,f_test_rank,mutual_info_rank,random_forest_rank,correlation_rank,gradient_boosting_rank,avg_rank,final_rank,f_test_score,mutual_info_score,random_forest_score,correlation_score,gradient_boosting_score
sensor_523,140.0,157.0,152.0,62.0,26.0,107.4,108.5,0.18482099430092294,0.0,0.003047618125466496,0.042318136531047275,0.011397742438930807
sensor_139,138.0,157.0,30.0,177.0,35.0,107.4,108.5,0.1970976808575901,0.0,0.006932359932349083,0.004067716031392856,0.009200027724486394
sensor_164,49.0,157.0,145.0,157.0,30.0,107.6,110.0,3.104014476221669,0.0,0.003163833401623973,0.008082514614515873,0.009926273502889391
sensor_563,89.0,93.0,35.0,150.0,174.0,108.2,111.0,1.2503865543547052,0.0033299813734515293,0.006447928510680019,0.009614681053388549,7.435632889593888e-05
sensor_345,173.0,157.0,23.0,19.0,176.0,109.6,112.0,0.0503125791010987,0.0,0.0073584947748666,0.07051875067671354,4.3043047852762207e-05
sensor_559,81.0,107.0,144.0,65.0,152.0,109.8,113.0,1.5373040707452932,0.0015848278855361553,0.0032477001099199907,0.04124967565536871,0.00034326836785354844
sensor_412,130.0,4.0,101.0,162.0,154.0,110.2,114.0,0.27930807217582,0.02411909063874651,0.004240229304892951,0.007430110119860026,0.0003298587736102449
sensor_486,110.0,157.0,110.0,86.0,89.0,110.4,115.0,0.6143521162395186,0.0,0.004129695128662476,0.032464189068580784,0.002979144112175329
sensor_569,71.0,157.0,182.0,85.0,58.0,110.6,116.0,2.0009011590569794,0.0,0.0020875751192583904,0.03263068881833787,0.005951470200196244
sensor_066,46.0,157.0,160.0,50.0,144.0,111.4,117.0,3.411091041504989,0.0,0.0028449391877669655,0.04784517493414539,0.0004097529794953591
sensor_039,127.0,53.0,81.0,176.0,122.0,111.8,118.0,0.3179133278013951,0.007648162409012116,0.00480521147164097,0.004529047386020254,0.0011024181694663784
sensor_420,195.0,157.0,74.0,88.0,54.0,113.6,119.0,6.806274496533414e-07,0.0,0.005041268528214233,0.03161436799517112,0.006220066714001453
sensor_526,116.0,58.0,104.0,131.0,160.0,113.8,120.0,0.5152747118014154,0.0073099179870432796,0.004223205656719081,0.016501395825073394,0.0002056936708080491
sensor_550,42.0,157.0,128.0,170.0,73.0,114.0,122.0,3.6520300550434444,0.0,0.0037379687707356415,0.0063145438616571455,0.004217295301555002
sensor_047,134.0,157.0,22.0,139.0,118.0,114.0,122.0,0.24847898785668474,0.0,0.007524528329681426,0.013329759074070097,0.0013059498583088936
sensor_196,36.0,116.0,186.0,134.0,98.0,114.0,122.0,4.370806074395892,9.529067579672201e-05,0.0020161749958469595,0.015920323096476167,0.002390069899504627
sensor_029,150.0,106.0,89.0,185.0,42.0,114.4,124.0,0.1344077651617571,0.0016800871651014848,0.004531925908772369,0.002293441475701439,0.008476893952429473
sensor_161,189.0,157.0,27.0,69.0,131.0,114.6,125.0,0.006684847500499316,0.0,0.007103358413741608,0.038316955225762374,0.0008006157980261477
sensor_072,184.0,78.0,76.0,71.0,167.0,115.2,126.5,0.014879551835534929,0.004878987433196702,0.0049938185112513266,0.037961460044054735,0.0001342167394071493
sensor_006,146.0,28.0,164.0,167.0,71.0,115.2,126.5,0.1503366529169829,0.014056080752833822,0.0027423404769431146,0.006924423171944573,0.0042854017811332756
sensor_419,105.0,157.0,58.0,92.0,165.0,115.4,128.0,0.7635073247357268,0.0,0.005632734229240194,0.028683438501091937,0.00016504958483366453
sensor_444,181.0,91.0,60.0,166.0,82.0,116.0,129.0,0.01945504274629491,0.003403161783300357,0.005557726482673132,0.006933304667471293,0.003303650961708985
sensor_525,125.0,157.0,98.0,136.0,80.0,119.2,130.5,0.3385041920095494,0.0,0.00432454727911509,0.014381088404365878,0.0035641302738527334
sensor_551,26.0,157.0,175.0,137.0,101.0,119.2,130.5,5.1048110250555245,0.0,0.002519150181422908,0.014278047994726095,0.002292444078538342
sensor_150,163.0,113.0,111.0,143.0,67.0,119.4,133.0,0.0839921654221508,0.0005009148352945747,0.004061151411147634,0.011914718504331605,0.004646270297424315
sensor_071,144.0,157.0,127.0,138.0,31.0,119.4,133.0,0.16122783074809727,0.0,0.0037562496387717713,0.014083852275873462,0.009903368814222177
sensor_166,80.0,157.0,157.0,124.0,79.0,119.4,133.0,1.6618125563173756,0.0,0.0029272703294501447,0.018067794782093582,0.0036812908939565267
sensor_015,182.0,35.0,112.0,155.0,117.0,120.2,135.0,0.01941852225898602,0.011689720769602507,0.004036514870444629,0.008437003569841936,0.0013075321425821786
sensor_177,164.0,60.0,191.0,133.0,56.0,120.8,136.0,0.08091655700306022,0.007034169067049678,0.001563346636345508,0.016186776115796955,0.006090076295935462
sensor_136,176.0,80.0,166.0,174.0,9.0,121.0,137.0,0.03735512810931427,0.004719684681691927,0.002718388768693321,0.005048012127912698,0.022140369415704717
sensor_472,128.0,157.0,119.0,128.0,75.0,121.4,138.0,0.301262899450141,0.0,0.003874937202431327,0.016953853013007943,0.00420191604845358
sensor_137,177.0,27.0,86.0,181.0,139.0,122.0,139.0,0.03729070929348661,0.014094788053261142,0.00462335772462876,0.0033313328102424575,0.0006033549573602376
sensor_045,126.0,157.0,69.0,153.0,111.0,123.2,140.5,0.3184494367589864,0.0,0.005210400249716326,0.008800744372933697,0.00162681710265495
sensor_585,191.0,46.0,162.0,129.0,88.0,123.2,140.5,0.00250268540639353,0.008960978374753958,0.002801529289203748,0.016891751528275756,0.0030367699100023867
sensor_482,120.0,105.0,125.0,105.0,162.0,123.4,142.0,0.4227496447429122,0.0017260815199784396,0.0037751387890748766,0.02462230338195071,0.0002042862535161977
sensor_432,119.0,59.0,184.0,79.0,178.0,123.8,143.0,0.4365128863317879,0.007069272937680893,0.002047810574025128,0.03469814884816143,3.157793022529168e-05
sensor_012,167.0,71.0,153.0,188.0,51.0,126.0,144.0,0.06591838124917986,0.005827929308670932,0.003036115813099637,0.0015614223458854045,0.007005760266082442
sensor_439,158.0,157.0,135.0,172.0,13.0,127.0,145.0,0.1091588059449482,0.0,0.003504648035079534,0.005948486798465286,0.01866896136298203
