balanced_accuracy,f1_fail,f1_pass,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,roc_auc,avg_precision,cv_balanced_acc_mean,cv_balanced_acc_std,model_name
0.6220542824638388,0.20202020202020202,0.8506616257088847,10,225,68,11,0.47619047619047616,0.7679180887372014,0.6944579879733463,0.1497355077580398,0.7957264957264958,0.022024100387564353,Logistic Regression
0.6168535673655128,0.18803418803418803,0.8140900195694716,11,208,85,10,0.5238095238095238,0.7098976109215017,0.6680481066146595,0.1196139151153648,0.8307692307692308,0.028488603952989668,KNN
0.6035267349260524,0.2153846153846154,0.9094138543516874,7,256,37,14,0.3333333333333333,0.8737201365187713,0.6864943929790346,0.16233919836321628,0.8743589743589745,0.02197429082424347,SVM
0.6001950268161872,0.23076923076923078,0.9305555555555556,6,268,25,15,0.2857142857142857,0.9146757679180887,0.7372013651877133,0.16753646793036936,0.9235042735042736,0.018475184889929303,AdaBoost
0.5900373801397693,0.23255813953488372,0.9435897435897436,5,276,17,16,0.23809523809523808,0.9419795221843004,0.7006338371526085,0.2588293670408378,0.9722222222222223,0.008164518450659346,Gradient Boosting
0.5815862181049894,0.24242424242424243,0.957983193277311,4,285,8,17,0.19047619047619047,0.9726962457337884,0.7588168373151308,0.24770813305930398,0.9756410256410257,0.008974358974359007,Random Forest
0.5764667641800747,0.2222222222222222,0.9527027027027027,4,282,11,17,0.19047619047619047,0.962457337883959,0.6721924264586381,0.21681193153015688,0.9705128205128206,0.00925487514004604,Neural Network
