,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,detected_failures,total_failures,false_alarms
One-Class SVM,38.0,145.0,45.0,1025.0,0.20765027322404372,0.4578313253012048,0.2857142857142857,38.0,83.0,145.0
ensemble,24.0,97.0,59.0,1073.0,0.19834710743801653,0.2891566265060241,0.23529411764705882,24.0,83.0,97.0
Elliptic Envelope,16.0,78.0,67.0,1092.0,0.1702127659574468,0.1927710843373494,0.1807909604519774,16.0,83.0,78.0
Local Outlier Factor,15.0,72.0,68.0,1098.0,0.1724137931034483,0.18072289156626506,0.17647058823529413,15.0,83.0,72.0
Isolation Forest,14.0,78.0,69.0,1092.0,0.15217391304347827,0.1686746987951807,0.16,14.0,83.0,78.0
